position,track_name,title_author,danceability,energy,speechiness,valence,mode,acousticness,tempo,duration_ms,loudness,key,URL
44,SUGAR,BROCKHAMPTON,0.453,0.538,0.0638,0.516,1,0.449,122.973,204533,-8.212,1,https://open.spotify.com/track/6U0FIYXCQ3TGrk4tFpLrEA
45,stupid,Tate McRae,0.673,0.579,0.0392,0.262,0,0.0692,96.009,172916,-6.029,0,https://open.spotify.com/track/4k3uABcX9iaGlt5pRJhumi
46,T-Shirt,KASIMIR1441,0.765,0.62,0.48,0.719,1,0.0906,89.688,108603,-13.747,10,https://open.spotify.com/track/2ysuyHrDnmlJexX7Mfh2J1
47,everything i wanted,Billie Eilish,0.704,0.225,0.0994,0.243,0,0.902,120.006,245426,-14.454,6,https://open.spotify.com/track/3ZCTVFBt2Brf31RLEnCkWJ
48,Turn Me On (feat. Vula),Riton,0.737,0.828,0.0396,0.517,1,0.0149,124.052,208474,-4.711,11,https://open.spotify.com/track/0qaWEvPkts34WF68r8Dzx9
49,Close Your Eyes,Felix Jaehn,0.818,0.823,0.2,0.52,0,0.0663,128.136,160794,-3.563,11,https://open.spotify.com/track/7N06jo3EnV792VFaG8vuW6
50,Run,Lost Child,0.596,0.545,0.0615,0.226,0,0.356,83.054,210096,-7.465,7,https://open.spotify.com/track/0Spdubqixmqtj04v9xvrUI
1,Kraazy,Likybo,0.689,0.701,0.237,0.37,0,0.314,94.982,151579,-9.477,6,https://open.spotify.com/track/3s2Qd1rsWqbvOoxpFTRp8D
2,Zeig dein Gesicht,Gewitter im Kopf,0.778,0.676,0.114,0.559,1,0.0345,103.023,188738,-7.487,11,https://open.spotify.com/track/2X0aRaRv0K5VKd1ktY2Z7j
3,The Box,Roddy Ricch,0.896,0.586,0.0559,0.642,0,0.104,116.971,196653,-6.687,10,https://open.spotify.com/track/0nbXyq5TXYPCO7pr3N8S4I
4,Hardstyle Girl (Harris & Ford Remix),Hard But Crazy,0.458,0.94,0.299,0.671,1,0.097,149.527,165000,-2.546,1,https://open.spotify.com/track/4SNTRZEd437z47y4mL9vKi
5,Blinding Lights,The Weeknd,0.513,0.796,0.0629,0.345,1,0.00147,171.017,201573,-4.075,1,https://open.spotify.com/track/0sf12qNH5qcw8qpgymFOqD
6,Psycho!,MASN,0.868,0.365,0.0383,0.471,1,0.433,114.979,197217,-9.51,7,https://open.spotify.com/track/4sSu9BtWSCWRNjGD2AvqbG
7,Hauseingang,Pashanim,0.549,0.396,0.437,0.284,0,0.168,79.559,141452,-8.435,8,https://open.spotify.com/track/1IikW5aCjY08gagX94j3fJ
8,GOODMORNINGTOKYO!,TOKYO’S REVENGE,0.907,0.539,0.36,0.664,1,0.0408,124.918,150115,-7.782,4,https://open.spotify.com/track/0Q2n5yzl2XRqYbV77tZNYp
9,Roses - Imanbek Remix,SAINt JHN,0.77,0.724,0.0495,0.898,1,0.0167,121.975,176840,-5.484,8,https://open.spotify.com/track/24Yi9hE78yPEbZ4kxyoXAI
10,Burberry faygo,Lil Adrei,0.83,0.399,0.0581,0.321,1,0.0243,99.01,142106,-10.988,0,https://open.spotify.com/track/3B36YnwXzR3VKm4hHYmGtr
11,Breaking Me,Topic,0.789,0.72,0.218,0.664,0,0.223,122.031,166794,-5.652,8,https://open.spotify.com/track/3H7ihDc1dqLriiWXwsc2po
12,Falling,Trevor Daniel,0.784,0.43,0.0364,0.236,0,0.123,127.087,159382,-8.756,10,https://open.spotify.com/track/4TnjEaWOeW0eKTKIEvJyCa
13,CASINO,Katja Krasavice,0.794,0.489,0.084,0.542,0,0.279,155.945,201548,-8.341,8,https://open.spotify.com/track/01AXHOcjq5Ikq1mKyNm9bM
14,No Idea,Don Toliver,0.651,0.631,0.0896,0.35,0,0.519,127.994,154424,-5.717,6,https://open.spotify.com/track/3VyjsVV24RmBIbWJAeUJNu
15,Vor der Tür,Gzuz,0.856,0.726,0.189,0.197,0,0.0158,100.953,171020,-6.263,4,https://open.spotify.com/track/2LgsKzO8lCeXk0TMd9veWW
16,Wieso?,Ra'is,0.776,0.582,0.14,0.311,0,0.465,95.019,165128,-8.296,9,https://open.spotify.com/track/1LK1THOpF8Ul8rHeL2Ws9C
17,Die Gang ist mein Team,Klaas,0.776,0.313,0.43,0.815,0,0.296,150.005,155142,-21.199,10,https://open.spotify.com/track/3QqIm5mpKvYMn4fJpAkObd
18,BOYFREN,LoveLeo,0.846,0.363,0.0607,0.674,1,0.246,79.927,136956,-7.328,1,https://open.spotify.com/track/3WmgMoWZ1E5yNyn2aUzWAr
19,Against The Rest,Twisted Harmonies,0.77,0.884,0.043,0.582,0,0.0983,123.913,165580,-3.079,6,https://open.spotify.com/track/6IPkf3kASYGkgeHuvxRMXO
20,Skifahren (feat. Joshi Mizu),The Cratez,0.719,0.705,0.252,0.435,0,0.223,133.927,162651,-6.891,5,https://open.spotify.com/track/1E1YyZjbteIz2XQyLvtRxD
21,All I Want - From "High School Musical: The Musical: The Series",Olivia Rodrigo,0.376,0.43,0.0328,0.129,0,0.0902,77.599,177323,-6.585,0,https://open.spotify.com/track/4Yxc55NX3tAXC2mHRAhtcW
22,Shababs botten,Pashanim,0.88,0.399,0.464,0.387,0,0.102,46.66,96031,-8.849,6,https://open.spotify.com/track/0H9WHopZ62JeDaGau7REMw
23,Dosenbier,Stefan Rauch,0.674,0.935,0.0661,0.503,1,0.0326,134.069,183022,-4.885,0,https://open.spotify.com/track/02zpZDk6pHfNPLPMd3EJrp
24,SUGAR,BROCKHAMPTON,0.453,0.538,0.0638,0.516,1,0.449,122.973,204533,-8.212,1,https://open.spotify.com/track/6U0FIYXCQ3TGrk4tFpLrEA
25,Ayy Macarena,Tyga,0.816,0.63,0.226,0.715,1,0.133,96.493,131607,-5.568,2,https://open.spotify.com/track/6LcauUZjF1eXQrgqMUecHX
26,Roller,Apache 207,0.941,0.758,0.17,0.683,0,0.0256,128.017,157093,-6.47,10,https://open.spotify.com/track/6hw1Sy9wZ8UCxYGdpKrU6M
27,Luft,Lucio101,0.58,0.799,0.398,0.791,0,0.403,69.401,99000,-6.318,10,https://open.spotify.com/track/6ruutN8MvN94yb5pNGIkwL
28,Eternal Youth,RŮDE,0.655,0.487,0.033,0.0454,1,0.0347,139.914,205766,-7.988,6,https://open.spotify.com/track/0ytvsZOerGzUWfHXVT2Sgy
29,Say So,Doja Cat,0.787,0.673,0.158,0.786,0,0.256,110.962,237893,-4.577,11,https://open.spotify.com/track/3Dv1eDb0MEgF93GpLXlucZ
30,Oblivion,Rufi-O,0.714,0.131,0.0556,0.685,1,0.975,113.032,152920,-21.958,5,https://open.spotify.com/track/2zhPy8zbBf53XgTtkEbnbO
31,KEIN SCHLAF,Nimo,0.606,0.715,0.173,0.393,1,0.294,174.049,200493,-5.608,11,https://open.spotify.com/track/1B89LtaW92jj4AqT7OZ0Fj
32,Elements,Joyhauser,0.671,0.936,0.0404,0.0679,1,0.00624,130.009,417231,-8.993,5,https://open.spotify.com/track/0C6aMqg0IlMqSNTxpmRbko
33,Menage A Trois,LIZOT,0.672,0.896,0.0657,0.483,1,0.122,123.941,168508,-5.278,10,https://open.spotify.com/track/40vCMTDaDwwpf7DyBlmgEj
34,Problems,DeathbyRomy,0.761,0.554,0.0432,0.381,1,0.226,145.015,188505,-4.583,0,https://open.spotify.com/track/5fgHQws1Cj6KDLQmlqM6lF
35,Suicidal,YNW Melly,0.735,0.369,0.0688,0.235,0,0.334,140.004,222997,-9.682,9,https://open.spotify.com/track/1iSqfoUFnQwV0QW1EfUit8
36,Nur zur Info,Ufo361,0.733,0.365,0.444,0.227,1,0.172,88.881,142232,-11.893,8,https://open.spotify.com/track/6Y7ZEVr7lgO8FKGk2vZ2hi
37,ROXANNE,Arizona Zervas,0.621,0.601,0.148,0.457,0,0.0522,116.735,163636,-5.616,6,https://open.spotify.com/track/696DnlkuDOXcMAnKlTgXXK
38,Close Your Eyes,Felix Jaehn,0.818,0.823,0.2,0.52,0,0.0663,128.136,160794,-3.563,11,https://open.spotify.com/track/7N06jo3EnV792VFaG8vuW6
39,Alien,RIN,0.835,0.601,0.0562,0.853,1,0.298,137.998,208947,-6.411,6,https://open.spotify.com/track/2RaKlveGCllSaXloN8kmzV
40,CASINO ROYAL,Kianush,0.754,0.68,0.224,0.499,0,0.345,118.008,171356,-6.331,0,https://open.spotify.com/track/3Dkfcd3DbXGVmM05KCRuFA
41,Hawaii Toast Song - BRANDON Remix,Alexander Marcus,0.824,0.779,0.077,0.871,1,0.00438,125.968,184946,-8.04,9,https://open.spotify.com/track/5CyWnrEZ6EeRoP8atbcDiv
