position,track_name,title_author,danceability,energy,speechiness,valence,mode,acousticness,tempo,duration_ms,loudness,key,URL
5,The Box,Roddy Ricch,0.896,0.586,0.0559,0.642,0,0.104,116.971,196653,-6.687,10,https://open.spotify.com/track/0nbXyq5TXYPCO7pr3N8S4I
6,19 Días y 500 Noches Después,Travis Birds,0.789,0.547,0.295,0.701,1,0.456,93.821,306269,-8.637,0,https://open.spotify.com/track/2rHB1wHcs7wm1mR57JQwN6
7,Amelie,Valeria Castro,0.597,0.0771,0.0503,0.31,0,0.897,118.791,199750,-9.002,6,https://open.spotify.com/track/2KtWiCqg2tGyFfTAfHmPZo
8,C90 (Remix),John C,0.867,0.761,0.0937,0.609,1,0.336,122.952,316000,-5.1,1,https://open.spotify.com/track/2b6i9zx3ULzKrNWmyP0ePD
9,Atrévete,Yago Roche,0.871,0.654,0.15,0.805,0,0.27,95.945,190000,-6.593,11,https://open.spotify.com/track/07Lxxln9lZ8m0hT6EySTCe
10,Sigues Con El,Dímelo Flow,0.883,0.668,0.113,0.676,1,0.11,87.972,226533,-2.957,9,https://open.spotify.com/track/7sQKy5vlPQllr0k9IjYJv3
11,Zorra,Bad Gyal,0.637,0.65,0.185,0.736,1,0.682,176.075,186120,-6.646,11,https://open.spotify.com/track/0OP1RzrglC008kj79Httv3
12,GOODMORNINGTOKYO!,TOKYO’S REVENGE,0.907,0.539,0.36,0.664,1,0.0408,124.918,150115,-7.782,4,https://open.spotify.com/track/0Q2n5yzl2XRqYbV77tZNYp
13,Dream Girl - Remix,Ir Sais,0.767,0.643,0.101,0.536,1,0.216,169.99,192452,-5.225,5,https://open.spotify.com/track/099tjv6oy2opbpCOA3nBwX
14,Fuera De Mi Mente,Lérica,0.741,0.94,0.101,0.702,1,0.169,93.994,181433,-2.068,1,https://open.spotify.com/track/7bsqRe39lKOYX45FZpzP9o
15,Malibú con Piña,Funzo & Baby Loud,0.642,0.705,0.0409,0.681,0,0.359,96.411,167999,-6.514,11,https://open.spotify.com/track/4T7SpjqFNSpfdAsN66DkiE
16,Dance Monkey,Tones And I,0.825,0.593,0.0988,0.54,0,0.688,98.078,209755,-6.401,6,https://open.spotify.com/track/1rgnBhdG2JDFTbYkYRZAku
17,El Fin del Mundo,La La Love You,0.6,0.866,0.0477,0.676,1,0.000839,127.056,188094,-4.599,4,https://open.spotify.com/track/5SeYlZyKVENMOxiSPQkKyw
18,Falling,Trevor Daniel,0.784,0.43,0.0364,0.236,0,0.123,127.087,159382,-8.756,10,https://open.spotify.com/track/4TnjEaWOeW0eKTKIEvJyCa
19,All I Want - From "High School Musical: The Musical: The Series",Olivia Rodrigo,0.376,0.43,0.0328,0.129,0,0.0902,77.599,177323,-6.585,0,https://open.spotify.com/track/4Yxc55NX3tAXC2mHRAhtcW
20,No Idea,Don Toliver,0.651,0.631,0.0896,0.35,0,0.519,127.994,154424,-5.717,6,https://open.spotify.com/track/3VyjsVV24RmBIbWJAeUJNu
21,Se iluminaba,Fred De Palma,0.791,0.693,0.0639,0.624,0,0.0811,123.923,174291,-4.98,0,https://open.spotify.com/track/3VPOZWtj8mM89IiRNygxgS
22,Infeliz,Arcangel,0.713,0.798,0.219,0.721,1,0.366,176.073,221103,-3.147,1,https://open.spotify.com/track/4z6wo6PJG4Fve45OXK6D9m
23,Solteroski,Los Solteroski,0.954,0.542,0.297,0.686,1,0.278,125.046,200058,-8.193,7,https://open.spotify.com/track/6JqfAWXo2rPNSWy9SDm9i3
24,Infiel,Eix,0.729,0.514,0.226,0.481,1,0.456,87.67,221440,-5.926,2,https://open.spotify.com/track/79B6ZFqXNEBk1cFMdtXVkz
25,Tant de bo,Suu,0.387,0.464,0.0899,0.472,1,0.562,89.784,179333,-8.78,10,https://open.spotify.com/track/4PUxQfRnxk0WIcdURld3du
26,RITMO (Bad Boys For Life),Black Eyed Peas,0.721,0.716,0.0657,0.667,0,0.0334,104.994,221714,-7.037,10,https://open.spotify.com/track/6cy3ki60hLwimwIje7tALf
27,Prendio (Remix),Rvfv,0.748,0.764,0.0615,0.754,0,0.19,125.065,191185,-5.677,4,https://open.spotify.com/track/17VsiwLi1ovKYdVUqDieGC
28,Tu Historia y la Mía,Hens,0.696,0.725,0.211,0.537,0,0.367,111.968,200441,-7.358,8,https://open.spotify.com/track/4ptmvueuWgilsYwI6u9V46
29,Alocao (With Bad Gyal),Omar Montes,0.673,0.752,0.0567,0.699,0,0.214,178.005,209320,-4.705,11,https://open.spotify.com/track/6RyuoOJXNzlVWpfC5xQyeI
30,Blanco,J Balvin,0.87,0.706,0.126,0.593,0,0.0253,100.013,145800,-5.395,9,https://open.spotify.com/track/2rc7BkzO8qepMFAxHtOrXc
31,La Canción del Pensador,Ciudad Jara,0.565,0.474,0.0265,0.138,0,0.112,92.02,265252,-8.541,1,https://open.spotify.com/track/6Fy4Wt2S1edN002zerXhlQ
32,Blinding Lights,The Weeknd,0.513,0.796,0.0629,0.345,1,0.00147,171.017,201573,-4.075,1,https://open.spotify.com/track/0sf12qNH5qcw8qpgymFOqD
33,Pikete italiano,KvndySwing,0.835,0.473,0.216,0.263,1,0.327,95.002,188182,-6.672,8,https://open.spotify.com/track/0irFsBbVTns85AOtJQ9kis
34,SUGAR,BROCKHAMPTON,0.453,0.538,0.0638,0.516,1,0.449,122.973,204533,-8.212,1,https://open.spotify.com/track/6U0FIYXCQ3TGrk4tFpLrEA
35,Hola - Remix,Dalex,0.654,0.672,0.311,0.343,0,0.471,181.857,249520,-5.98,0,https://open.spotify.com/track/5stPVcRqb4qixbafP9e8lt
36,ROXANNE,Arizona Zervas,0.621,0.601,0.148,0.457,0,0.0522,116.735,163636,-5.616,6,https://open.spotify.com/track/696DnlkuDOXcMAnKlTgXXK
37,Enciéndelo,Joseph El De La Urba,0.756,0.65,0.45,0.66,0,0.439,97.725,229133,-3.142,10,https://open.spotify.com/track/5MA74oQBT1lVZtAVuMJAm0
38,Habibi,La Cebolla,0.685,0.69,0.188,0.854,0,0.594,180.094,195618,-5.389,1,https://open.spotify.com/track/0GugHAcaTXnPmxmflZCb62
39,No Dijeron Nada,Oscu,0.702,0.705,0.047,0.906,0,0.0769,114.962,186783,-5.257,1,https://open.spotify.com/track/66YgptYp9124vxw9yFsIGn
40,Perreo en La Luna,Rich Music LTD,0.711,0.757,0.29,0.724,0,0.268,174.013,218587,-4.188,1,https://open.spotify.com/track/0RDgqtvOHLwcI6yz9bjsZV
41,Suicidal,YNW Melly,0.735,0.369,0.0688,0.235,0,0.334,140.004,222997,-9.682,9,https://open.spotify.com/track/1iSqfoUFnQwV0QW1EfUit8
42,Say So,Doja Cat,0.787,0.673,0.158,0.786,0,0.256,110.962,237893,-4.577,11,https://open.spotify.com/track/3Dv1eDb0MEgF93GpLXlucZ
43,A Dónde Vamos,Morat,0.627,0.608,0.0364,0.955,1,0.00677,149.029,203102,-12.914,0,https://open.spotify.com/track/671sG3ETDxC3L6qcGIrHRM
44,Psycho,Red Velvet,0.664,0.666,0.0446,0.405,1,0.193,139.987,210560,-2.203,8,https://open.spotify.com/track/3CYH422oy1cZNoo0GTG1TK
45,Loco por Verte,Los Hitmen,0.771,0.521,0.199,0.437,0,0.119,159.904,256920,-5.609,6,https://open.spotify.com/track/7JUvz8eMJTJYJ1dHYUcK7y
46,Easy - Remix,Jhay Cortez,0.886,0.752,0.0949,0.435,0,0.191,94.066,220147,-3.819,1,https://open.spotify.com/track/0Cn8NxJZz7zUlsaA3rXoIU
47,Solito (Lonely) [feat. Nicky Jam & Akon],Messiah,0.732,0.871,0.0418,0.564,1,0.192,98.019,230127,-1.406,10,https://open.spotify.com/track/0yxU21ecIK43OvBh4apONo
48,PORFA,Feid,0.843,0.549,0.164,0.541,0,0.0948,83.982,233000,-8.018,6,https://open.spotify.com/track/3iQOfefMGDVDwo8dZoco8T
49,Calle Melancolía,Robe,0.491,0.743,0.0423,0.161,1,0.0356,91.047,380973,-5.821,4,https://open.spotify.com/track/3li6qqddV84LgSw9lgh0sG
50,Suave - Remix,Jey Blessing,0.673,0.694,0.166,0.78,1,0.557,175.912,203000,-4.01,10,https://open.spotify.com/track/6K7V47wFpfam2aeE893rbL
1,Me Da Asco Tu Familia,Nadie Sabe Nada,0.505,0.885,0.0968,0.785,1,0.00236,168.036,86299,-8.822,9,https://open.spotify.com/track/4iN8XAk63IUwMPBYKiE0kD
2,Tusa,KAROL G,0.803,0.715,0.298,0.574,1,0.295,101.085,200960,-3.28,2,https://open.spotify.com/track/7k4t7uLgtOxPwTpFmtJNTY
3,Kraazy,Likybo,0.689,0.701,0.237,0.37,0,0.314,94.982,151579,-9.477,6,https://open.spotify.com/track/3s2Qd1rsWqbvOoxpFTRp8D
4,The Box,Roddy Ricch,0.896,0.586,0.0559,0.642,0,0.104,116.971,196653,-6.687,10,https://open.spotify.com/track/0nbXyq5TXYPCO7pr3N8S4I
5,+,Aitana,0.561,0.666,0.0322,0.675,1,0.106,160.019,219367,-4.243,8,https://open.spotify.com/track/5Cbo7oz78gqkzV3EAM63VA
