position,track_name,title_author,danceability,energy,speechiness,valence,mode,acousticness,tempo,duration_ms,loudness,key,URL
39,Address It,LPB Poody,0.903,0.611,0.268,0.329,0,0.109,94.525,146688,-8.006,10,https://open.spotify.com/track/1FgPyHX7HruKDL4Tx4MeZB
40,Summer Nights,LILBRO,0.81,0.479,0.0749,0.295,1,0.176,102.993,211268,-9.877,7,https://open.spotify.com/track/4gZksu67OsYmuHYGGMgPkC
41,Rover (feat. DTG),S1mba,0.613,0.624,0.206,0.804,0,0.496,62.948,167917,-6.66,11,https://open.spotify.com/track/4slSrbTK1sNK4I1mDYEthf
42,I'm Just Feelin' (Du Du Du),Imanbek,0.736,0.657,0.0668,0.548,1,0.179,115.989,164885,-7.512,0,https://open.spotify.com/track/73ThEGwF5i9GrsXXGyZBRa
43,Зын Зын,Zhonti,0.946,0.714,0.334,0.39,0,0.157,119.858,177245,-8.204,4,https://open.spotify.com/track/1SL9uxpEbVvCeEFCmdLkhQ
44,Somebody,Dagny,0.724,0.765,0.0381,0.441,1,0.00191,117.935,194373,-4.748,0,https://open.spotify.com/track/5ZBKXaiKksaMq07XSnyOQ4
45,Outsider,Veil Of Maya,0.476,0.971,0.0964,0.207,0,5.25e-05,140.02,249468,-3.797,4,https://open.spotify.com/track/2UJ7e55bObCYCqpBkehnsr
46,Outlawz,Terror Reid,0.787,0.86,0.182,0.625,0,0.206,89.997,224000,-6.38,6,https://open.spotify.com/track/0wMBON83H9bcRTTWhprziY
47,Suurempi voima,Mikko Leppilampi,0.597,0.324,0.0303,0.365,1,0.355,127.957,186974,-9.399,1,https://open.spotify.com/track/3EENezdlSzp2VoUpoKSEIt
48,EI,Ina,0.705,0.636,0.157,0.507,0,0.00596,150.09,170200,-8.915,5,https://open.spotify.com/track/0TvvRl13syy2Lbs8RLRMtc
49,Be Kind (with Halsey),Marshmello,0.63,0.633,0.0457,0.452,1,0.00776,93.995,172762,-7.088,4,https://open.spotify.com/track/3Z8FwOEN59mRMxDCtb8N0A
50,One More Night,Milos,0.706,0.678,0.0833,0.348,0,0.0419,104.944,186000,-10.21,1,https://open.spotify.com/track/11ZoqTPkTgngprODZuxgOv
1,Судно (Борис Рижий),Molchat Doma,0.484,0.749,0.0687,0.468,1,0.699,160.006,141395,-4.176,1,https://open.spotify.com/track/6DONTnamNDOJdO6DzCu71p
2,Times We Had,Barlito,0.849,0.7,0.259,0.704,0,0.46,142.996,229799,-6.138,7,https://open.spotify.com/track/0taGy8aBzOXCLdPwbPykpz
3,Party Girl,StaySolidRocky,0.728,0.431,0.0622,0.629,0,0.749,130.022,147800,-9.966,6,https://open.spotify.com/track/5RqR4ZCCKJDcBLIn4sih9l
4,August,Intelligency,0.835,0.559,0.0323,0.509,0,0.314,125.023,179520,-9.852,2,https://open.spotify.com/track/3ZQ3kDvbNYIZI4uR1qQHII
