position,track_name,title_author,danceability,energy,speechiness,valence,mode,acousticness,tempo,duration_ms,loudness,URL
24,Yeke Yeke,Mory Kanté,0.652,0.74,0.0411,0.687,1,0.148,125.741,238253,-13.469,https://open.spotify.com/track/7yuF2FK7adgzGiIfEpR7Km
25,Contigo,Danna Paola,0.719,0.66,0.188,0.676,0,0.53,170.074,159840,-4.217,https://open.spotify.com/track/3vSzpGke0ViKOGoX2wIKnZ
26,Don't Mind,Jake Edwards,0.615,0.775,0.0556,0.609,0,0.0771,80.064,168008,-5.12,https://open.spotify.com/track/1hkXlMrfChzrTikE2SB1MK
27,Boşu Boşuna,OzzyTheMusician,0.586,0.109,0.0329,0.0776,0,0.764,138.158,396800,-13.981,https://open.spotify.com/track/3MK60r2hFMwp5475ZGFQMB
28,Queen's Speech 4,Lady Leshurr,0.661,0.531,0.548,0.672,0,0.141,93.287,196615,-10.113,https://open.spotify.com/track/2l4UVfs8CyBJWLqUmjekDw
29,Hokkabazlar,Heijan,0.77,0.49,0.343,0.433,0,0.348,155.953,178462,-9.844,https://open.spotify.com/track/0Y0VJ43gCiZJZmdaKslhpo
30,Daha Mutlu Olamam,mor ve ötesi,0.493,0.701,0.0343,0.563,1,0.00884,135.699,220333,-7.01,https://open.spotify.com/track/32VgH3g8D7l7ZuT74FgdPY
31,roxstar,Bangers Only,0.862,0.539,0.0787,0.439,1,0.225,130.026,150883,-6.975,https://open.spotify.com/track/5l8rugpVIdln5jHvEQLNla
32,Yağmurlar,Anıl Piyancı,0.71,0.694,0.0477,0.219,0,0.057,115.091,237865,-6.187,https://open.spotify.com/track/3aX0N8IdY9rECrbuuR4FMp
33,Yanar Yüreğim,Kürşat Gürel,0.628,0.499,0.0794,0.528,0,0.318,170.05,231751,-9.929,https://open.spotify.com/track/67Zv3AMrJ0WkApqbpsXiJF
34,Kırık Camlar,Batuhan Polat,0.597,0.0524,0.036,0.26,0,0.909,75.583,282819,-19.301,https://open.spotify.com/track/61YoBzFmKtoIftPJXxvrA3
35,Djadja,Aya Nakamura,0.829,0.797,0.109,0.549,1,0.0617,97.972,171133,-5.428,https://open.spotify.com/track/7sKDftgGirHWTVFMtJoDoh
36,Uzunlar - V2,Evdeki Saat,0.596,0.713,0.0512,0.853,0,0.057,170.067,262588,-7.878,https://open.spotify.com/track/5bnn2jadPSi4cAwq5H1clN
37,Banana (feat. Shaggy),Conkarah,0.856,0.834,0.245,0.824,1,0.0582,95.056,184421,-4.012,https://open.spotify.com/track/6ON9qDoT2beR9dQ0evOOj1
38,Yıkılmam Asla,Ayça Özefe,0.619,0.506,0.0859,0.324,0,0.866,119.906,152000,-10.4,https://open.spotify.com/track/3t2nEhZ1dkAIvG4KyJd1LR
39,Sar Bu Şehri (Akustik),Canozan,0.346,0.287,0.0369,0.117,0,0.857,188.62,204331,-10.965,https://open.spotify.com/track/4YiW28JXKVnk0wGTLUfUz8
40,KURAL,Bedo,0.719,0.494,0.125,0.782,0,0.104,171.195,181209,-10.683,https://open.spotify.com/track/5yMBkiumChjgruBX5HWNNo
41,Beni Kendinden Kurtar,Perdenin Ardındakiler,0.456,0.311,0.0289,0.216,0,0.61,156.193,206434,-9.18,https://open.spotify.com/track/15XIirnxN07thDhFLuFbH6
42,Sağanak,Aspova,0.65,0.455,0.403,0.209,1,0.278,147.937,184865,-9.073,https://open.spotify.com/track/5dxswPRA3fzRsFugp11ws3
43,Stronger,Shadowkey,0.672,0.635,0.0684,0.221,0,0.0263,151.988,214753,-6.578,https://open.spotify.com/track/7gict47updtVo2bhjFBzjO
44,Sıcak Şarap,Batuhan Kordel,0.685,0.405,0.0318,0.756,0,0.778,100.02,149397,-16.513,https://open.spotify.com/track/2EbglAExnyDNFhjDa4tMAy
45,Bi Sonu Var Mı?,Burak King,0.546,0.42,0.109,0.414,0,0.129,147.975,175820,-12.902,https://open.spotify.com/track/1qTYF3U0Nfqr87eoCFdI2e
46,Kelebekler,Madrigal,0.697,0.452,0.0302,0.854,0,0.145,82.016,247130,-10.739,https://open.spotify.com/track/3O9G6FQrqhwQxR0GeeF93Q
47,Think About Things,Daði Freyr,0.871,0.341,0.0576,0.612,0,0.0311,127.001,173386,-8.932,https://open.spotify.com/track/2iRniYXjMHKmwXqA2jYXP7
48,Elefante,NK,0.894,0.702,0.164,0.307,1,0.203,90.01,161917,-4.098,https://open.spotify.com/track/5s727A4OsVB8vG8eBo2D0s
49,Deep End,AREZRA,0.709,0.601,0.245,0.328,1,0.0526,125.178,188165,-9.21,https://open.spotify.com/track/5F9Af8IkIrfayGZtxskdgn
50,Hayat Bayram Olsa,Şenay,0.642,0.736,0.0866,0.838,0,0.654,131.6,203005,-5.368,https://open.spotify.com/track/43ltlBl1CSWtzrG2TzQhQp
1,Tom's Diner,AnnenMayKantereit,0.68,0.428,0.135,0.334,0,0.376,98.222,269333,-8.107,https://open.spotify.com/track/0oA9wBGDY4uyILLg4GymWP
2,ily (i love you baby) (feat. Emilee),Surf Mesa,0.674,0.774,0.0892,0.33,0,0.0686,112.05,176547,-7.567,https://open.spotify.com/track/62aP9fBQKYKxi7PDXwcUAS
3,Tesadüfen,Hakan Kurtaş,0.562,0.377,0.0383,0.381,0,0.691,93.488,260592,-9.767,https://open.spotify.com/track/5FLSzKDtwoYn1ztlR6fDw0
4,THE SCOTTS,THE SCOTTS,0.716,0.537,0.0514,0.28,0,0.233,129.979,165978,-7.648,https://open.spotify.com/track/39Yp9wwQiSRIDOvrVg7mbk
5,Bırakma Kendini,Kaan Boşnak,0.652,0.574,0.0261,0.577,0,0.411,103.996,240626,-11.093,https://open.spotify.com/track/087cds8zjbUmokjg2jdMOp
6,Seni Dert Etmeler,Madrigal,0.552,0.608,0.0274,0.835,0,0.148,88.002,188500,-11.211,https://open.spotify.com/track/2Aq4sw2LKalsQ7m4pzLZ88
7,Луна не знает пути,Тайпан,0.747,0.484,0.252,0.467,0,0.418,171.97,131163,-7.938,https://open.spotify.com/track/2erwvnNpf1mIyC0M6F7KDg
8,Pusu Kuracaklar,Sabri Örge,0.705,0.842,0.115,0.663,1,0.115,113.144,248386,-6.831,https://open.spotify.com/track/5tB6fvAf2fIQDPoauopLj1
9,Party Girl,StaySolidRocky,0.728,0.431,0.0622,0.629,0,0.749,130.022,147800,-9.966,https://open.spotify.com/track/5RqR4ZCCKJDcBLIn4sih9l
10,I Like Him,Princess Nokia,0.893,0.579,0.113,0.611,1,0.0641,133.018,132453,-8.995,https://open.spotify.com/track/68UU9oaQtMDnh6PRlW842H
11,Boşu Boşuna,OzzyTheMusician,0.586,0.109,0.0329,0.0776,0,0.764,138.158,396800,-13.981,https://open.spotify.com/track/3MK60r2hFMwp5475ZGFQMB
12,Mert KIYAK - Gel,Mert Kıyak,0.78,0.343,0.0769,0.547,0,0.586,84.979,172344,-10.33,https://open.spotify.com/track/7r36IPB6w0rPWMBDVJPshI
13,Daha Mutlu Olamam,mor ve ötesi,0.493,0.701,0.0343,0.563,1,0.00884,135.699,220333,-7.01,https://open.spotify.com/track/32VgH3g8D7l7ZuT74FgdPY
14,Elbet Bir Gün Buluşacağız,Şebnem Hassanisoughi,0.451,0.233,0.0301,0.223,0,0.872,146.29,144685,-10.634,https://open.spotify.com/track/2yTKfiXgBoHiAqpydLpXgM
15,KURAL,Bedo,0.719,0.494,0.125,0.782,0,0.104,171.195,181209,-10.683,https://open.spotify.com/track/5yMBkiumChjgruBX5HWNNo
16,roxstar,Bangers Only,0.862,0.539,0.0787,0.439,1,0.225,130.026,150883,-6.975,https://open.spotify.com/track/5l8rugpVIdln5jHvEQLNla
17,Play Date,Melanie Martinez,0.68,0.729,0.0475,0.446,1,0.612,123.97,179867,-5.077,https://open.spotify.com/track/4DpNNXFMMxQEKl7r0ykkWA
18,Düş Yakamdan,UZI,0.763,0.727,0.0726,0.613,1,0.554,139.946,199000,-7.626,https://open.spotify.com/track/21gsq4esxsCV46ikMdqmaV
19,Ты мой кайф,Dzharo & Khanza,0.935,0.832,0.214,0.641,0,0.661,109.086,136514,-1.947,https://open.spotify.com/track/2MHSX5b2U5DEeebmpuX8Ha
20,Deep End Freestyle,Sleepy Hallow,0.876,0.479,0.44,0.776,0,0.703,133.858,115200,-6.687,https://open.spotify.com/track/4zTPYAf5scZdp0LnwPPeWK
21,Gulmek Icin Yaratilmis,Emre Gören,0.76,0.589,0.045,0.705,0,0.0301,95.009,255216,-6.787,https://open.spotify.com/track/64frlHPH5Z5VecMd1VoiTi
22,Судно (Борис Рижий),Molchat Doma,0.484,0.749,0.0687,0.468,1,0.699,160.006,141395,-4.176,https://open.spotify.com/track/6DONTnamNDOJdO6DzCu71p
23,Hokkabazlar,Heijan,0.77,0.49,0.343,0.433,0,0.348,155.953,178462,-9.844,https://open.spotify.com/track/0Y0VJ43gCiZJZmdaKslhpo
24,Tebessüm,Fatih Peşmen,0.877,0.269,0.111,0.748,1,0.662,113.344,175059,-12.364,https://open.spotify.com/track/2qWKDo5C6cG2mROoG7G9l2
25,Biz Dar Sokaklarında,VİRA,0.436,0.545,0.0333,0.298,1,0.414,123.357,267442,-11.169,https://open.spotify.com/track/1NR8vzLcO2TFnCvYWl1MbH
26,bulamadım,aia,0.793,0.504,0.0477,0.226,0,0.23,106.009,160496,-6.947,https://open.spotify.com/track/3mIxgTbfMyq989uawkrMGM
27,Yağmurlar,Anıl Piyancı,0.71,0.694,0.0477,0.219,0,0.057,115.091,237865,-6.187,https://open.spotify.com/track/3aX0N8IdY9rECrbuuR4FMp
28,Abilere Selam Çatışmaya Devam,Dj YoungBoi,0.769,0.96,0.0873,0.373,0,0.00414,130.003,254924,-5.64,https://open.spotify.com/track/324ZE3Wm34CUe2wnkx76Q5
29,Farfara,Gus Vali,0.584,0.432,0.0441,0.632,1,0.182,117.637,207517,-10.079,https://open.spotify.com/track/0nUcCNYfhyZuJM6dOU6BBE
30,İhtimaller,Baran Bölükbaşı,0.752,0.437,0.0646,0.159,0,0.176,149.999,233686,-8.467,https://open.spotify.com/track/1Xw9e68zOJQYqw5f3OPpuf
31,Deep End,AREZRA,0.709,0.601,0.245,0.328,1,0.0526,125.178,188165,-9.21,https://open.spotify.com/track/5F9Af8IkIrfayGZtxskdgn
32,Kavanoz Dipli Dünya,Turgut Akyüz,0.431,0.764,0.0531,0.517,1,0.484,151.924,224119,-4.554,https://open.spotify.com/track/7EhUVuaZ6F1EMYv9kWcmO6
33,Sağanak,Aspova,0.65,0.455,0.403,0.209,1,0.278,147.937,184865,-9.073,https://open.spotify.com/track/5dxswPRA3fzRsFugp11ws3
34,Ay Işığında,Nermine Memmedova,0.391,0.0298,0.0366,0.27,0,0.994,103.35,192653,-18.829,https://open.spotify.com/track/20HAyFqvjXcUHvIkJ8PnHF
35,Луна не знает пути (Demo Version),Тайпан,0.729,0.488,0.389,0.586,0,0.259,172.077,103327,-7.268,https://open.spotify.com/track/39yamZ1XJQBPkRDIBCWcwl
36,Laxed – Siren Beat,Jawsh 685,0.736,0.62,0.11,0.959,0,0.0577,150.026,201990,-8.481,https://open.spotify.com/track/3BJiF37kmX4HCfYSO7qBnQ
37,Sar Bu Şehri (Akustik),Canozan,0.346,0.287,0.0369,0.117,0,0.857,188.62,204331,-10.965,https://open.spotify.com/track/4YiW28JXKVnk0wGTLUfUz8
38,Gidemiyom,Gamze Ökten,0.624,0.756,0.0572,0.842,0,0.396,173.972,196584,-5.091,https://open.spotify.com/track/50tGFnMjB7akNAls1qXJKv
39,Ah Adam,Oynat,0.572,0.396,0.0414,0.627,0,0.493,127.859,142889,-6.047,https://open.spotify.com/track/1W4PQEm8wz8sM5aMLX2RPV
40,Djadja,Aya Nakamura,0.829,0.797,0.109,0.549,1,0.0617,97.972,171133,-5.428,https://open.spotify.com/track/7sKDftgGirHWTVFMtJoDoh
41,Yanar Yüreğim,Kürşat Gürel,0.628,0.499,0.0794,0.528,0,0.318,170.05,231751,-9.929,https://open.spotify.com/track/67Zv3AMrJ0WkApqbpsXiJF
42,O Ben Olamam,Mavi Gri,0.272,0.442,0.0496,0.321,0,0.0425,82.809,319270,-10.516,https://open.spotify.com/track/3jwAjmoSIleloreUAmTkBI
43,Beni Kendinden Kurtar,Perdenin Ardındakiler,0.456,0.311,0.0289,0.216,0,0.61,156.193,206434,-9.18,https://open.spotify.com/track/15XIirnxN07thDhFLuFbH6
44,En Büyük Hatanım,Sancak,0.593,0.737,0.0596,0.661,0,0.236,165.85,156958,-5.672,https://open.spotify.com/track/0Tm6VZ5nwe5Lrso9j1Bx0U
45,Kalmam,Ebru Yaşar,0.704,0.651,0.133,0.54,0,0.519,144.965,208966,-6.445,https://open.spotify.com/track/5dCXnMbtn7Uzb4lHolYUPd
46,Spit it out,Solar,0.747,0.858,0.123,0.779,1,0.0682,127.978,194413,-3.379,https://open.spotify.com/track/5F6RrFgt1yvRhNCdAEumM6
47,Yıkılmam Asla,Ayça Özefe,0.619,0.506,0.0859,0.324,0,0.866,119.906,152000,-10.4,https://open.spotify.com/track/3t2nEhZ1dkAIvG4KyJd1LR
