Position,"Track Name",Artist,Streams,URL
139,"Du ga mæ viljestyrke","Kristian Kristensen",10901,https://open.spotify.com/track/4AuJ78qR1JaNvveL2DTC70
140,"hot girl bummer",blackbear,10882,https://open.spotify.com/track/7aiClxsDWFRQ0Kzk5KI5ku
141,"Favorite Part Of Me","Astrid S",10694,https://open.spotify.com/track/0cppqb4vQycORHNMxr8DGd
142,"Lose You To Love Me","Selena Gomez",10649,https://open.spotify.com/track/4l0Mvzj72xxOpRrp6h8nHi
143,"Sing It With Me","JP Cooper",10645,https://open.spotify.com/track/60DwQiwwglVkTkTwDTTEId
144,"Sour Candy (with BLACKPINK)","Lady Gaga",10498,https://open.spotify.com/track/1IWNylpZ477gIVUDpJL66u
145,Attention,Ulrikke,10463,https://open.spotify.com/track/3Irt43mvuVwozBsllZlKCf
146,"Sweet but Psycho","Ava Max",10408,https://open.spotify.com/track/25sgk305KZfyuqVBQIahim
147,Surrender,"Natalie Taylor",10351,https://open.spotify.com/track/0ecC8p17cDNlxHXkuYqeR6
148,"Say So (feat. Nicki Minaj)","Doja Cat",10328,https://open.spotify.com/track/11VApNQCWLJdzxWrlmwzUa
149,Play,K-391,10302,https://open.spotify.com/track/4jp4Z02kzzg8gK0NmDGgml
150,"You Are The Reason","Calum Scott",10184,https://open.spotify.com/track/69vToJ9BMbbLlFZo7k7A7B
151,Riot,XXXTENTACION,10087,https://open.spotify.com/track/4aOOExMBUyxKnEYb39SrTg
152,Idyll,Postgirobygget,9949,https://open.spotify.com/track/496pB9sYK4rEMnI4wlozDP
153,Power,Ruben,9925,https://open.spotify.com/track/7yuWNNEypticZS0yPAMPt9
154,Gatelongs,Rotlaus,9883,https://open.spotify.com/track/4oi4BFWbw2r9el8D9aVue3
155,"Sunset Lover","Petit Biscuit",9842,https://open.spotify.com/track/3WRQUvzRvBDr4AxMWhXc5E
156,Someone,Jubël,9842,https://open.spotify.com/track/68zNuCEl9UHTbcBltW2uDv
157,"Ride It",Regard,9838,https://open.spotify.com/track/2tnVG71enUj33Ic2nFN6kZ
158,"Dancing On My Own","Calum Scott",9775,https://open.spotify.com/track/2BOqDYLOJBiMOXShCV1neZ
159,"you were good to me (bonus track)","Jeremy Zucker",9723,https://open.spotify.com/track/0JnSoyZMTYZLWFVdVT1JFZ
160,Robbery,"Juice WRLD",9720,https://open.spotify.com/track/6Hj9jySrnFppAI0sEMCZpJ
161,"Sunflower - Spider-Man: Into the Spider-Verse","Post Malone",9661,https://open.spotify.com/track/0RiRZpuVRbi7oqRdSMwhQY
162,Outro,"Emilie Nicolas",9658,https://open.spotify.com/track/0UBI70pMOO3ey2JPqDSW5j
163,"Higher Ground (feat. John Martin)","Martin Garrix",9635,https://open.spotify.com/track/0rohJsT6NWsThpukt0Xxdc
164,"Ikke som de andre","Sondre Justad",9625,https://open.spotify.com/track/1LdBn0RT6kL9IvJXteFPFG
165,Jovial,"Freddy Kalas",9620,https://open.spotify.com/track/5paNYIC0vrVj1EWGVzfJzb
166,"To The Moon","Emilie Nicolas",9592,https://open.spotify.com/track/59rJT7V6mMJ34PhtiN6oi9
167,"Ballin' (with Roddy Ricch)",Mustard,9561,https://open.spotify.com/track/3QzAOrNlsabgbMwlZt7TAY
168,"Birra Birra Bärs",Ringnes-Ronny,9557,https://open.spotify.com/track/4Cc6COku80NI2gUKk4f61g
169,"Let Her Go",Passenger,9549,https://open.spotify.com/track/2jyjhRf6DVbMPU5zxagN2h
170,"Tell Me U Luv Me (with Trippie Redd)","Juice WRLD",9545,https://open.spotify.com/track/4CNcRgjGw1v9VQaTaytdnD
171,Teddybear,"Emilie Nicolas",9529,https://open.spotify.com/track/3gPUgMkY1NZsMOUFCSDYRL
172,"Wreckonize (Dønskirussen 2019)","Roc Boyz",9512,https://open.spotify.com/track/7FLtGeNkGKErJizU2EfJMN
173,"Typen Din","Vidar Villa",9476,https://open.spotify.com/track/0FF9IS0V311A2vMpNIzFip
174,"Et Guttehjem","Den BB",9443,https://open.spotify.com/track/1LCxdVpqmelSadTYTMCo41
175,"YungBratz 2020","El Papi",9435,https://open.spotify.com/track/2E0h67o37XABm3dNWqXm6T
176,"Say You Won't Let Go","James Arthur",9324,https://open.spotify.com/track/5uCax9HTNlzGybIStD3vDh
177,Dior,"Pop Smoke",9305,https://open.spotify.com/track/79s5XnCN4TJKTVMSmOx8Ep
178,"The Night We Met","Lord Huron",9260,https://open.spotify.com/track/3hRV0jL3vUpRrcy398teAU
179,"Rundt neste sving",Rotlaus,9201,https://open.spotify.com/track/0ARPFpJeBfsRmwrrzdvrls
180,"Let Me Down Slowly","Alec Benjamin",9167,https://open.spotify.com/track/2qxmye6gAegTMjLKEBoR3d
181,"Kiss Somebody","Julie Bergan",9091,https://open.spotify.com/track/17XU1PTSv4OfcBUE8rNYWm
182,Komplicerad,"Miss Li",9078,https://open.spotify.com/track/29nwG4y9NFmN76yfUfc01d
183,"Deep End Freestyle","Sleepy Hallow",9018,https://open.spotify.com/track/2AlYncTpVHKwHb55F9lF6O
184,"This City","Sam Fischer",9011,https://open.spotify.com/track/3H3r2nKWa3Yk5gt8xgmsEt
185,"Laxed – Siren Beat","Jawsh 685",8997,https://open.spotify.com/track/3BJiF37kmX4HCfYSO7qBnQ
186,"Go Flex","Post Malone",8955,https://open.spotify.com/track/5yuShbu70mtHXY0yLzCQLQ
187,F.N,"Lil Tjay",8930,https://open.spotify.com/track/0RLLvYBopDwooCyvnTwgYu
188,"No Humans","Emilie Nicolas",8879,https://open.spotify.com/track/4jlA6p4J9KDEcXiSqofgLQ
189,"Beautiful People (feat. Khalid)","Ed Sheeran",8879,https://open.spotify.com/track/70eFcWOvlMObDhURTqT4Fv
190,"Lose Control",MEDUZA,8863,https://open.spotify.com/track/7CHi4DtfK4heMlQaudCuHK
191,"I Don't Care (with Justin Bieber)","Ed Sheeran",8830,https://open.spotify.com/track/0hVXuCcriWRGvwMV1r5Yn9
192,"First Love Song","Emilie Nicolas",8818,https://open.spotify.com/track/4a2fGWaZQdWD1MopYDaAYy
193,"Get You The Moon (feat. Snøw)",Kina,8814,https://open.spotify.com/track/4ZLzoOkj0MPWrTLvooIuaa
194,Balkong,"Unge Ferrari",8775,https://open.spotify.com/track/6sWtJNUxC5SYEKQ0zFGeNT
195,"SKARRE VÆRRA GREIT ELLER?","Oskar Westerlin",8738,https://open.spotify.com/track/2ZJYsUUXegQrI1bOkq2UWC
196,"Flex (feat. Juice WRLD)","Polo G",8701,https://open.spotify.com/track/2QqJTIlGKRLJC3onkavYEz
197,LMK,"Lil Xxel",8700,https://open.spotify.com/track/4s0hDz7zGgZUav9EvzyLsB
198,"Be Happy",CLMD,8645,https://open.spotify.com/track/1WQuhznklzuM2xgGoGkg7m
199,"What If I Told You That I Love You","Ali Gatie",8624,https://open.spotify.com/track/3cqPu20DGTGUoZtbJH2Dmi
200,skittles,Karpe,8543,https://open.spotify.com/track/4xdOjt8F7VlOuu3kpDHEWN
